index,name,lyric
,ayaz-geceler,"['Geceler sessiz sessiz yağar', 'Yağar sabahlara kadar', 'Ağlama gönül ağlama', 'Bu sevda senide yakar', ' Geceler uzun geceler sessiz', 'Geceler çekilmiyor sensiz', 'Geceler hüsran geceler ayaz', 'Geleceksen artık etme naz', ' Geceler sessiz sessiz tüter', 'Tüter ocağın dumanı', 'Ağlama gönül ağlama', 'Yarin yok dini imanı', ' Geceler uzun geceler sessiz', 'Geceler çekilmiyor sensiz', 'Geceler hüsran geceler ayaz', 'Geleceksen artık etme naz']"
,ayni-bedende-can-gibiyiz,"['Ayni bedende can gibiyiz', 'Cana can veren kan gibiyiz', 'Yanipta bitmez köz gibiyiz', 'Biz ayrilamayiz', ' Eller ayirsa bile', 'Yollar ayirsa bile', 'Yillar ayirsa bile', 'Biz ayrilamayiz', ' Biz iki çilgin sevgiliyiz', 'Delicisine sevdaliyiz', 'Öyle büyük ki bu sevgimiz', 'Biz ayrilamayiz', ' Eller ayirsa bile', 'Yollar ayirsa bile', 'Yillar ayirsa bile', 'Biz ayrilamayiz']"
,ayrildi-gonul,"['Ayrıldı gönül şimdi yine bir tek eşinden', 'Bulmakta teselli batan akşam güneşinden', 'Alnımdaki hattı yaşımın matemi sanma', 'Her çizgi açıldı acı hicran ateşinden', '']"
,ayrildik-iste,"['Ayrıldık işte', 'Ağla, ağlayabildiğin kadar', ' Unutma sakın beni', 'Mutlu geçen o günleri', 'Başka çare yok, bil ki', 'Ayrıldık işte...', ' Ne yıllar, ne yollar, ne eller ayırdı', 'Kader denilen yazı, böyle yazılmıştı', 'Ah... ah... ah...', 'Ayrıldık işte...', ' Unutma sakın beni', 'Mutlu geçen o günleri', 'Başka çare yok, bil ki', 'Ayrıldık işte...']"
,ayrilik-yaman-kelime,"['Ayrılık yaman kelime', 'Benzetmek azdır ölüme', 'Kim uğrarsa bu zulüme', 'Amaan aman amaan', 'Gündüzü olurmus gece', ' Soldu mu neşen hevesin', 'Seslenirim gelmez sesin', 'Dudaklarımda nefesin', 'Amaaan amaan amaan', 'Özlerim seni delice', ' Tatmadan aşkın tadını', 'Duydum acı feryadını', 'Dilimin zevki adını', 'Amaaan aman amaan', 'Sayıklarım hece hece']"
,ayrilik-yari-olmekmis,"['Ayrılık yarı ölmekmiş', 'O bir âlevden gömlekmiş', 'O âlevin bağrımda dili', 'Ben böyle sensiz olurum deli', 'Nerdesin ey sevgili', 'Hâtıralarda uyutmam seni', 'Seni unutmam, unutmam seni', 'Rûhumda ılık nefesin', 'Kulağımı okşar sesin', 'Benden uzak, benimlesin', 'Artık hayâl mi nesin', 'Ey sevgili nerdesin', 'Nerdesin ey sevgili']"
,ayrilis-mor-lacivert,"['Mor lacivert duman gibi', 'Sislenirse güzel başım', 'Dökülürken gözlerimden', 'Damla damla akan yaşım', ' Bir buluttu geçti dersin', 'Acı acı gülümsersin', 'Unutulmaz sevdamızı', 'Düşünürken derin derin', ' En sevdiğim şarkılarla', 'Islanırsa hayallerim', '']"
,ayrilmak-ne-kadar-zor,"['Ayrılmak ne kadar zor, unutulmak çok acı', 'Dün gülen bakışların bugün bana yabancı', 'Bu kadar zâlim olma bu mahzûn kalbe karşı', 'Dün gülen bakışların bugün bana yabancı', '']"
,azize,"['Ellerimden ellerin,', 'Ayrılmasın sevgilim...', 'Ellerimden ellerin,', 'Ayrılmasın sevgilim...', ' Gözlerimden gözlerin,', 'Ayrılmasın azize...', 'Gözlerimden gözlerin,', 'Ayrılmasın azize...', ' Ah azize, ah azize', 'Yalvarırım gel gitme', 'Ah azize, ah azize', 'Çok mes`udum ben seninle,', ' Ah azize, ah azize,', 'Beni terketmee...', 'Ah azize ah azize', 'Beni terketmee...', '']"
,bade-i-vuslat-icilsin-kase-i-fagfurdan,"['Bade-i vuslat icilsin kase-i fagfurdan', ""Bir ilahi nes'e doğsun nagme-i tanburdan"", 'Çuylar feryad ederken bahr-i duradurdan', 'İnlesin tanbur agus-i visal-i yardan', '']"
